timestamp,heart_rate,spo2,label,predicted_label
2025-07-01 00:00:00,77.5,98.0,Normal,Normal
2025-07-01 00:01:00,74.3,98.8,Normal,Normal
2025-07-01 00:02:00,78.2,97.3,Normal,Normal
2025-07-01 00:03:00,82.6,95.1,Normal,Normal
2025-07-01 00:04:00,73.8,97.6,Normal,Normal
2025-07-01 00:05:00,73.8,96.0,Normal,Normal
2025-07-01 00:06:00,82.9,96.2,Normal,Normal
2025-07-01 00:07:00,78.8,97.9,Normal,Normal
2025-07-01 00:08:00,72.7,98.9,Normal,Normal
2025-07-01 00:09:00,77.7,97.0,Normal,Normal
2025-07-01 00:10:00,72.7,97.5,Normal,Normal
2025-07-01 00:11:00,72.7,99.6,Normal,Normal
2025-07-01 00:12:00,76.2,97.4,Normal,Normal
2025-07-01 00:13:00,65.4,100.9,Normal,Normal
2025-07-01 00:14:00,66.4,97.8,Normal,Normal
2025-07-01 00:15:00,72.2,94.4,Normal,Normal
2025-07-01 00:16:00,69.9,98.1,Normal,Normal
2025-07-01 00:17:00,76.6,97.6,Normal,Normal
2025-07-01 00:18:00,70.5,98.9,Normal,Normal
2025-07-01 00:19:00,67.9,98.0,Normal,Normal
2025-07-01 00:20:00,82.3,96.8,Normal,Normal
2025-07-01 00:21:00,73.9,95.2,Normal,Normal
2025-07-01 00:22:00,75.3,96.7,Normal,Normal
2025-07-01 00:23:00,67.9,95.7,Normal,Normal
2025-07-01 00:24:00,72.3,96.1,Normal,Normal
2025-07-01 00:25:00,75.6,97.9,Normal,Normal
2025-07-01 00:26:00,69.2,99.5,Normal,Normal
2025-07-01 00:27:00,76.9,97.6,Normal,Normal
2025-07-01 00:28:00,72.0,95.2,Normal,Normal
2025-07-01 00:29:00,73.5,97.7,Normal,Normal
2025-07-01 00:30:00,72.0,98.8,Normal,Normal
2025-07-01 00:31:00,84.3,96.1,Normal,Normal
2025-07-01 00:32:00,74.9,96.8,Normal,Normal
2025-07-01 00:33:00,69.7,97.0,Normal,Normal
2025-07-01 00:34:00,79.1,95.8,Normal,Normal
2025-07-01 00:35:00,68.9,98.0,Normal,Normal
2025-07-01 00:36:00,76.0,96.8,Normal,Normal
2025-07-01 00:37:00,65.2,97.6,Normal,Normal
2025-07-01 00:38:00,68.4,95.7,Normal,Normal
2025-07-01 00:39:00,76.0,96.3,Normal,Normal
2025-07-01 00:40:00,78.7,98.1,Normal,Normal
2025-07-01 00:41:00,75.9,96.4,Normal,Normal
2025-07-01 00:42:00,74.4,99.6,Normal,Normal
2025-07-01 00:43:00,73.5,96.4,Normal,Normal
2025-07-01 00:44:00,67.6,97.3,Normal,Normal
2025-07-01 00:45:00,71.4,98.4,Normal,Normal
2025-07-01 00:46:00,115.7,89.9,Anomaly,Anomaly
2025-07-01 00:47:00,80.3,94.4,Normal,Normal
2025-07-01 00:48:00,76.7,94.7,Normal,Normal
2025-07-01 00:49:00,66.2,98.9,Normal,Normal
2025-07-01 00:50:00,76.6,96.2,Normal,Normal
2025-07-01 00:51:00,73.1,100.8,Normal,Normal
2025-07-01 00:52:00,71.6,96.2,Normal,Normal
2025-07-01 00:53:00,78.1,97.3,Normal,Normal
